creditcardid;cardtype;cardnumber;expmonth;expyear
3708;SuperiorCard;3.33379E+13;1;2007
3709;Vista;1.11188E+13;8;2005
3710;Vista;1.11146E+13;8;2005
3711;Distinguish;5.55559E+13;10;2005
3712;SuperiorCard;3.33341E+13;2;2007
3713;Distinguish;5.55577E+13;5;2005
3714;Distinguish;5.55587E+13;11;2008
3715;Vista;1.11182E+13;2;2008
3716;SuperiorCard;3.33335E+13;1;2006
3717;ColonialVoice;7.77737E+13;1;2007
3718;SuperiorCard;3.33369E+13;12;2005
3719;Distinguish;5.55529E+13;5;2005
3720;Vista;1.11187E+13;7;2006
3721;Distinguish;5.55571E+13;9;2005
3722;Vista;1.11197E+13;8;2007
3723;ColonialVoice;7.77782E+13;12;2006
3724;ColonialVoice;7.77767E+13;3;2007
3725;Vista;1.11144E+13;12;2006
3726;ColonialVoice;7.77777E+13;6;2007
3727;SuperiorCard;3.33381E+13;10;2005
3728;SuperiorCard;3.33316E+13;6;2007
3729;ColonialVoice;7.77777E+13;6;2006
3730;Distinguish;5.55547E+13;9;2005
3731;ColonialVoice;7.77721E+13;10;2005
3732;SuperiorCard;3.33395E+13;5;2005
3733;ColonialVoice;7.77734E+13;10;2006
3734;Distinguish;5.55561E+13;7;2005
3735;Vista;1.11124E+13;7;2005
3736;SuperiorCard;3.3333E+13;1;2007
3737;Vista;1.11185E+13;11;2006
3738;Distinguish;5.5556E+13;11;2008
3739;ColonialVoice;7.77785E+13;2;2007
3740;Vista;1.11163E+13;11;2006
3741;Vista;1.11123E+13;4;2007
3742;Vista;1.11146E+13;6;2006
3743;Distinguish;5.55541E+13;1;2005
3744;Vista;1.11114E+13;5;2006
3745;ColonialVoice;7.77733E+13;6;2007
3746;Distinguish;5.55595E+13;1;2007
3747;Vista;1.11184E+13;11;2007
3748;Vista;1.11179E+13;3;2006
3749;Distinguish;5.55554E+13;11;2007
3750;Vista;1.11186E+13;1;2008
3751;ColonialVoice;7.77748E+13;10;2006
3752;ColonialVoice;7.77746E+13;11;2005
3753;ColonialVoice;7.77714E+13;4;2006
3754;ColonialVoice;7.77727E+13;12;2007
3755;SuperiorCard;3.33341E+13;9;2007
3756;Vista;1.11183E+13;7;2008
3757;SuperiorCard;3.33369E+13;7;2005
3758;ColonialVoice;7.77797E+13;12;2008
3759;ColonialVoice;7.77727E+13;10;2005
3760;ColonialVoice;7.7779E+13;10;2008
3761;Vista;1.11128E+13;11;2005
3762;Vista;1.11162E+13;3;2005
3763;Vista;1.11177E+13;3;2007
3764;Distinguish;5.55579E+13;2;2005
3765;Distinguish;5.55582E+13;12;2006
3766;Vista;1.11198E+13;11;2006
3767;Distinguish;5.55551E+13;3;2005
3768;Distinguish;5.55559E+13;3;2006
3769;Distinguish;5.5557E+13;8;2008
3770;ColonialVoice;7.77767E+13;12;2005
3771;ColonialVoice;7.77776E+13;11;2007
3772;Vista;1.11164E+13;9;2007
3773;ColonialVoice;7.77743E+13;11;2006
3774;Distinguish;5.55555E+13;12;2007
3775;ColonialVoice;7.77718E+13;4;2005
3776;ColonialVoice;7.77792E+13;1;2006
3777;ColonialVoice;7.77721E+13;11;2007
3778;ColonialVoice;7.77787E+13;7;2008
3779;Distinguish;5.55532E+13;9;2005
3780;ColonialVoice;7.77773E+13;10;2007
3781;SuperiorCard;3.33387E+13;2;2005
3782;Distinguish;5.55544E+13;2;2008
3783;SuperiorCard;3.33388E+13;12;2006
3784;Vista;1.11159E+13;5;2005
3785;ColonialVoice;7.77784E+13;11;2006
3786;ColonialVoice;7.77712E+13;8;2008
3787;Distinguish;5.5554E+13;7;2007
3788;Vista;1.1115E+13;9;2007
3789;SuperiorCard;3.3332E+13;11;2005
3790;Distinguish;5.55599E+13;5;2008
3791;SuperiorCard;3.33313E+13;1;2008
3792;ColonialVoice;7.77791E+13;7;2007
3793;Distinguish;5.55541E+13;7;2006
3794;Vista;1.11129E+13;6;2006
3795;Vista;1.11135E+13;7;2006
3796;SuperiorCard;3.33379E+13;1;2008
3797;Distinguish;5.55588E+13;1;2007
3798;ColonialVoice;7.77748E+13;7;2007
3799;Distinguish;5.5557E+13;2;2008
3800;Distinguish;5.55542E+13;7;2008
3801;SuperiorCard;3.33389E+13;5;2006
3802;Distinguish;5.55563E+13;6;2006
3803;Distinguish;5.55566E+13;9;2007
3804;ColonialVoice;7.77723E+13;9;2005
3805;Distinguish;5.55587E+13;1;2006
3806;ColonialVoice;7.77735E+13;7;2007
3807;Vista;1.11186E+13;12;2006
3808;ColonialVoice;7.77769E+13;2;2006
3809;ColonialVoice;7.77799E+13;11;2005
3810;Distinguish;5.55517E+13;8;2007
3811;Vista;1.11156E+13;6;2008
3812;Vista;1.11187E+13;10;2006
3813;Distinguish;5.55589E+13;2;2008
3814;SuperiorCard;3.33364E+13;11;2008
3815;Vista;1.11114E+13;11;2006
3816;Distinguish;5.55556E+13;8;2008
3817;Distinguish;5.55546E+13;1;2007
3818;SuperiorCard;3.33332E+13;5;2005
3819;ColonialVoice;7.77784E+13;7;2008
3820;Vista;1.11124E+13;7;2007
3821;Vista;1.11152E+13;6;2008
3822;Distinguish;5.55516E+13;12;2008
3823;SuperiorCard;3.33355E+13;1;2006
3824;SuperiorCard;3.33317E+13;12;2006
3825;Distinguish;5.5552E+13;12;2005
3826;Distinguish;5.55514E+13;12;2007
3827;SuperiorCard;3.33374E+13;5;2008
3828;SuperiorCard;3.33372E+13;6;2007
3829;SuperiorCard;3.33373E+13;11;2006
3830;SuperiorCard;3.33336E+13;7;2005
3831;ColonialVoice;7.77733E+13;1;2007
3832;SuperiorCard;3.3336E+13;5;2007
3833;SuperiorCard;3.33351E+13;1;2007
3834;ColonialVoice;7.77789E+13;12;2006
3835;ColonialVoice;7.77743E+13;7;2008
3836;SuperiorCard;3.33357E+13;2;2007
3837;Vista;1.11164E+13;1;2005
3838;Vista;1.11169E+13;1;2007
3839;ColonialVoice;7.77715E+13;2;2005
3840;ColonialVoice;7.77731E+13;12;2006
3841;Vista;1.11123E+13;12;2005
3842;SuperiorCard;3.3339E+13;3;2008
3843;Distinguish;5.55548E+13;12;2008
3844;Distinguish;5.55571E+13;3;2006
3845;ColonialVoice;7.77792E+13;7;2006
3846;ColonialVoice;7.77712E+13;4;2008
3847;Distinguish;5.556E+13;10;2008
3848;Vista;1.11126E+13;5;2006
3849;ColonialVoice;7.77783E+13;5;2006
3850;ColonialVoice;7.77752E+13;11;2008
3851;Distinguish;5.55517E+13;10;2006
3852;Distinguish;5.55568E+13;12;2007
3853;Distinguish;5.55564E+13;12;2008
3854;ColonialVoice;7.77748E+13;11;2006
3855;Vista;1.11154E+13;1;2008
3856;SuperiorCard;3.33369E+13;2;2006
3857;SuperiorCard;3.33355E+13;9;2007
3858;ColonialVoice;7.77746E+13;5;2007
3859;ColonialVoice;7.77725E+13;10;2006
3860;Vista;1.11146E+13;4;2007
3861;Vista;1.11151E+13;7;2006
3862;Vista;1.11185E+13;11;2005
3863;ColonialVoice;7.77721E+13;12;2006
3864;ColonialVoice;7.77717E+13;6;2007
3865;Distinguish;5.55514E+13;9;2007
3866;Vista;1.11191E+13;5;2008
3867;Distinguish;5.55578E+13;3;2006
3868;ColonialVoice;7.77729E+13;2;2007
3869;Vista;1.11199E+13;6;2005
3870;Vista;1.11143E+13;11;2006
3871;SuperiorCard;3.33371E+13;10;2007
3872;Distinguish;5.55511E+13;3;2007
3873;Vista;1.11133E+13;8;2006
3874;Distinguish;5.55563E+13;6;2006
3875;Distinguish;5.55559E+13;5;2007
3876;ColonialVoice;7.77789E+13;11;2008
3877;Vista;1.11166E+13;6;2008
3878;ColonialVoice;7.77771E+13;3;2008
3879;Vista;1.11146E+13;11;2008
3880;ColonialVoice;7.7777E+13;12;2005
3881;ColonialVoice;7.77722E+13;5;2005
3882;ColonialVoice;7.77794E+13;9;2005
3883;SuperiorCard;3.33377E+13;7;2005
3884;SuperiorCard;3.33374E+13;12;2007
3885;Vista;1.11161E+13;10;2005
3886;Vista;1.11159E+13;11;2007
3887;Vista;1.11138E+13;3;2005
3888;ColonialVoice;7.77776E+13;7;2006
3889;Vista;1.11163E+13;3;2008
3890;Distinguish;5.55545E+13;4;2008
3891;Vista;1.11137E+13;8;2008
3892;ColonialVoice;7.77753E+13;4;2007
3893;ColonialVoice;7.77755E+13;9;2008
3894;Vista;1.11136E+13;3;2008
3895;Distinguish;5.55516E+13;4;2008
3896;Vista;1.11187E+13;3;2007
3897;Vista;1.1118E+13;12;2008
3898;ColonialVoice;7.77748E+13;5;2006
3899;SuperiorCard;3.33389E+13;5;2005
3900;ColonialVoice;7.77783E+13;1;2008
3901;SuperiorCard;3.33335E+13;6;2008
3902;Vista;1.11169E+13;9;2007
3903;Vista;1.11157E+13;4;2008
3904;SuperiorCard;3.3334E+13;11;2007
3905;Vista;1.11129E+13;6;2006
3906;SuperiorCard;3.3338E+13;11;2005
3907;SuperiorCard;3.33359E+13;12;2008
3908;ColonialVoice;7.77767E+13;9;2007
3909;Distinguish;5.55528E+13;12;2007
3910;SuperiorCard;3.33376E+13;4;2007
3911;Distinguish;5.5553E+13;10;2008
3912;ColonialVoice;7.77794E+13;9;2007
3913;SuperiorCard;3.33353E+13;1;2008
3914;SuperiorCard;3.3332E+13;2;2007
3915;Distinguish;5.5559E+13;4;2005
3916;Vista;1.11139E+13;6;2006
3917;ColonialVoice;7.77768E+13;1;2007
3918;SuperiorCard;3.33353E+13;12;2008
3919;Distinguish;5.55549E+13;11;2007
3920;Distinguish;5.55556E+13;1;2005
3921;SuperiorCard;3.33388E+13;9;2006
3922;Distinguish;5.55512E+13;8;2007
3923;Vista;1.11112E+13;11;2005
3924;Distinguish;5.55519E+13;1;2005
3925;Vista;1.11154E+13;4;2006
3926;ColonialVoice;7.77737E+13;4;2006
3927;Vista;1.11171E+13;6;2005
3928;Vista;1.11157E+13;9;2008
3929;Vista;1.11197E+13;3;2006
3930;ColonialVoice;7.77785E+13;4;2006
3931;Distinguish;5.55585E+13;11;2008
3932;Distinguish;5.55573E+13;12;2007
3933;SuperiorCard;3.33394E+13;4;2008
3934;ColonialVoice;7.77789E+13;2;2005
3935;Distinguish;5.55519E+13;11;2008
3936;SuperiorCard;3.33385E+13;4;2008
3937;Distinguish;5.55579E+13;6;2007
3938;Distinguish;5.5552E+13;2;2008
3939;SuperiorCard;3.3336E+13;10;2007
3940;SuperiorCard;3.33361E+13;1;2007
3941;ColonialVoice;7.77759E+13;2;2007
3942;SuperiorCard;3.33391E+13;11;2006
3943;ColonialVoice;7.77724E+13;4;2008
3944;Distinguish;5.55521E+13;4;2008
3945;Distinguish;5.55586E+13;5;2008
3946;SuperiorCard;3.33378E+13;8;2006
3947;ColonialVoice;7.77772E+13;11;2008
3948;ColonialVoice;7.77771E+13;12;2005
3949;Distinguish;5.5553E+13;1;2006
3950;Vista;1.11161E+13;8;2008
3951;SuperiorCard;3.33396E+13;12;2008
3952;SuperiorCard;3.33336E+13;2;2006
3953;Distinguish;5.55587E+13;6;2005
3954;Distinguish;5.55566E+13;2;2005
3955;Vista;1.11117E+13;4;2008
3956;Distinguish;5.55559E+13;9;2008
3957;ColonialVoice;7.7773E+13;11;2008
3958;ColonialVoice;7.7775E+13;9;2008
3959;ColonialVoice;7.77747E+13;9;2005
3960;SuperiorCard;3.33321E+13;5;2008
3961;Vista;1.11162E+13;4;2008
3962;Vista;1.11115E+13;7;2008
3963;Distinguish;5.55561E+13;7;2005
3964;SuperiorCard;3.3334E+13;12;2008
3965;Distinguish;5.55599E+13;2;2006
3966;SuperiorCard;3.33328E+13;12;2008
3967;Vista;1.11199E+13;3;2007
3968;SuperiorCard;3.33311E+13;3;2008
3969;Distinguish;5.55527E+13;2;2007
3970;ColonialVoice;7.77788E+13;1;2007
3971;Distinguish;5.55586E+13;7;2005
3972;Distinguish;5.55517E+13;11;2006
3973;ColonialVoice;7.77769E+13;8;2007
3974;ColonialVoice;7.77762E+13;2;2006
3975;Distinguish;5.5558E+13;5;2006
3976;Distinguish;5.55575E+13;2;2005
3977;Vista;1.11174E+13;12;2005
3978;Distinguish;5.55597E+13;5;2008
3979;ColonialVoice;7.77762E+13;5;2008
3980;Vista;1.11143E+13;3;2006
3981;Vista;1.11162E+13;1;2005
3982;Vista;1.11168E+13;10;2007
3983;SuperiorCard;3.33335E+13;2;2007
3984;SuperiorCard;3.33379E+13;4;2007
3985;Vista;1.11185E+13;8;2007
3986;ColonialVoice;7.7779E+13;7;2007
3987;ColonialVoice;7.77724E+13;12;2007
3988;Vista;1.11197E+13;7;2005
3989;Vista;1.11155E+13;10;2007
3990;SuperiorCard;3.33339E+13;8;2008
3991;SuperiorCard;3.3339E+13;7;2008
3992;Vista;1.11149E+13;7;2005
3993;Distinguish;5.55564E+13;4;2005
3994;Distinguish;5.55579E+13;3;2008
3995;ColonialVoice;7.77797E+13;1;2008
3996;Distinguish;5.55571E+13;6;2007
3997;Vista;1.11189E+13;8;2006
3998;Vista;1.11165E+13;4;2005
3999;Distinguish;5.55519E+13;6;2005
4000;Distinguish;5.55578E+13;4;2008
4001;Distinguish;5.55527E+13;6;2007
4002;Distinguish;5.55585E+13;9;2008
4003;Vista;1.11198E+13;8;2007
4004;ColonialVoice;7.77794E+13;4;2006
4005;Vista;1.11168E+13;4;2008
4006;ColonialVoice;7.77714E+13;11;2006
4007;ColonialVoice;7.77714E+13;8;2005
4008;ColonialVoice;7.77768E+13;3;2008
4009;Distinguish;5.55535E+13;2;2006
4010;Vista;1.11162E+13;10;2008
4011;SuperiorCard;3.33396E+13;12;2007
4012;SuperiorCard;3.33338E+13;4;2008
4013;Vista;1.11181E+13;3;2008
4014;SuperiorCard;3.33347E+13;11;2007
4015;Distinguish;5.55528E+13;9;2007
4016;SuperiorCard;3.33395E+13;8;2007
4017;ColonialVoice;7.77792E+13;12;2005
4018;ColonialVoice;7.77723E+13;2;2007
4019;Distinguish;5.55544E+13;10;2007
4020;SuperiorCard;3.33339E+13;10;2005
4021;Distinguish;5.55538E+13;8;2007
4022;SuperiorCard;3.33383E+13;3;2007
4023;Distinguish;5.5559E+13;11;2005
4024;Distinguish;5.55575E+13;2;2005
4025;ColonialVoice;7.77714E+13;9;2005
4026;SuperiorCard;3.33386E+13;10;2006
4027;ColonialVoice;7.77718E+13;4;2008
4028;SuperiorCard;3.33366E+13;8;2008
4029;SuperiorCard;3.33368E+13;8;2008
4030;SuperiorCard;3.33335E+13;12;2005
4031;SuperiorCard;3.33321E+13;3;2008
4032;Vista;1.11111E+13;9;2005
4033;Distinguish;5.5557E+13;3;2007
4034;Vista;1.11111E+13;2;2007
4035;ColonialVoice;7.77768E+13;10;2008
4036;Distinguish;5.55546E+13;9;2007
4037;Distinguish;5.55591E+13;5;2008
4038;Vista;1.11197E+13;10;2008
4039;Distinguish;5.55525E+13;8;2007
4040;Vista;1.11185E+13;4;2005
4041;SuperiorCard;3.3337E+13;10;2006
4042;Vista;1.11167E+13;6;2006
4043;SuperiorCard;3.33357E+13;9;2005
4044;SuperiorCard;3.3336E+13;7;2008
4045;ColonialVoice;7.7778E+13;10;2006
4046;Distinguish;5.55516E+13;3;2008
4047;SuperiorCard;3.3337E+13;5;2005
4048;ColonialVoice;7.77774E+13;3;2006
4049;Vista;1.11175E+13;10;2005
4050;Vista;1.1116E+13;12;2008
4051;Vista;1.11156E+13;11;2006
4052;ColonialVoice;7.77752E+13;3;2007
4053;SuperiorCard;3.33359E+13;1;2008
4054;Vista;1.11192E+13;6;2006
4055;Distinguish;5.55521E+13;1;2006
4056;SuperiorCard;3.33397E+13;11;2008
4057;SuperiorCard;3.33364E+13;9;2007
4058;SuperiorCard;3.33344E+13;12;2005
4059;ColonialVoice;7.77788E+13;6;2005
4060;ColonialVoice;7.77798E+13;7;2008
4061;Distinguish;5.55535E+13;10;2007
4062;Vista;1.11181E+13;5;2008
4063;Distinguish;5.5558E+13;5;2005
4064;ColonialVoice;7.77751E+13;5;2006
4065;Distinguish;5.55551E+13;11;2006
4066;SuperiorCard;3.33325E+13;9;2006
4067;Vista;1.11153E+13;7;2008
4068;Vista;1.11127E+13;4;2007
4069;Vista;1.11176E+13;10;2005
4070;Vista;1.11198E+13;5;2006
4071;Vista;1.11182E+13;3;2007
4072;Distinguish;5.55522E+13;4;2006
4073;SuperiorCard;3.33362E+13;4;2008
4074;Distinguish;5.55523E+13;3;2008
4075;SuperiorCard;3.33335E+13;6;2008
4076;SuperiorCard;3.33334E+13;12;2005
4077;ColonialVoice;7.77777E+13;4;2005
4078;Distinguish;5.5552E+13;9;2006
4079;Distinguish;5.55539E+13;6;2006
4080;SuperiorCard;3.33343E+13;6;2006
4081;Distinguish;5.55524E+13;12;2005
4082;SuperiorCard;3.33363E+13;8;2006
4083;Vista;1.11199E+13;9;2008
4084;ColonialVoice;7.77715E+13;9;2005
4085;Vista;1.1113E+13;8;2008
4086;SuperiorCard;3.33385E+13;8;2007
4087;Vista;1.11161E+13;11;2006
4088;Distinguish;5.55514E+13;9;2005
4089;ColonialVoice;7.77735E+13;10;2005
4090;SuperiorCard;3.33325E+13;8;2006
4091;Vista;1.11168E+13;4;2005
4092;Vista;1.11193E+13;12;2008
4093;Distinguish;5.55564E+13;9;2007
4094;Vista;1.11138E+13;4;2008
4095;Vista;1.11143E+13;4;2006
4096;Vista;1.11144E+13;5;2008
4097;Distinguish;5.55556E+13;3;2007
4098;Distinguish;5.55548E+13;8;2006
4099;Distinguish;5.55554E+13;6;2005
4100;SuperiorCard;3.33337E+13;7;2007
4101;ColonialVoice;7.77725E+13;4;2005
4102;ColonialVoice;7.77767E+13;6;2005
4103;SuperiorCard;3.33351E+13;12;2005
4104;ColonialVoice;7.77719E+13;11;2006
4105;ColonialVoice;7.77734E+13;5;2005
4106;Vista;1.11173E+13;8;2007
4107;Vista;1.11132E+13;1;2007
4108;Distinguish;5.55559E+13;3;2006
4109;SuperiorCard;3.33389E+13;12;2007
4110;SuperiorCard;3.33316E+13;9;2007
4111;Vista;1.11194E+13;11;2006
4112;SuperiorCard;3.33395E+13;7;2007
4113;Vista;1.11114E+13;11;2006
4114;Vista;1.11155E+13;7;2008
4115;ColonialVoice;7.77754E+13;5;2008
4116;Distinguish;5.55529E+13;8;2008
4117;Vista;1.11184E+13;6;2006
4118;Distinguish;5.55519E+13;11;2006
4119;Vista;1.11189E+13;5;2005
4120;ColonialVoice;7.77752E+13;9;2005
4121;Distinguish;5.55573E+13;11;2008
4122;Distinguish;5.55535E+13;10;2008
4123;Vista;1.11132E+13;11;2006
4124;Distinguish;5.55572E+13;11;2008
4125;ColonialVoice;7.7772E+13;8;2005
4126;Distinguish;5.55556E+13;1;2008
4127;Vista;1.11182E+13;12;2005
4128;Distinguish;5.55585E+13;12;2008
4129;ColonialVoice;7.7772E+13;7;2006
4130;ColonialVoice;7.77769E+13;4;2006
4131;SuperiorCard;3.33371E+13;5;2007
4132;SuperiorCard;3.33313E+13;11;2007
4133;SuperiorCard;3.33326E+13;10;2005
4134;Vista;1.11192E+13;9;2005
4135;ColonialVoice;7.7775E+13;2;2007
4136;Vista;1.11175E+13;5;2005
4137;Distinguish;5.55548E+13;2;2006
4138;SuperiorCard;3.33332E+13;1;2007
4139;ColonialVoice;7.77793E+13;11;2008
4140;Vista;1.1116E+13;6;2006
4141;Vista;1.11171E+13;5;2008
4142;ColonialVoice;7.77796E+13;9;2007
4143;Vista;1.11193E+13;7;2006
4144;ColonialVoice;7.77777E+13;12;2006
4145;SuperiorCard;3.33366E+13;9;2007
4146;ColonialVoice;7.77728E+13;12;2006
4147;Distinguish;5.55514E+13;8;2008
4148;ColonialVoice;7.77757E+13;4;2008
4149;Vista;1.11172E+13;2;2005
4150;Distinguish;5.55591E+13;8;2007
4151;Distinguish;5.55571E+13;10;2007
4152;ColonialVoice;7.77722E+13;5;2007
4153;SuperiorCard;3.33373E+13;2;2007
4154;Vista;1.11119E+13;6;2005
4155;Vista;1.11138E+13;7;2008
4156;SuperiorCard;3.33382E+13;6;2007
4157;ColonialVoice;7.77784E+13;3;2008
4158;SuperiorCard;3.33367E+13;2;2008
4159;SuperiorCard;3.33312E+13;10;2007
4160;Vista;1.11196E+13;10;2005
4161;ColonialVoice;7.77794E+13;8;2006
4162;SuperiorCard;3.33368E+13;4;2005
4163;Vista;1.11163E+13;3;2008
4164;Vista;1.11147E+13;8;2006
4165;ColonialVoice;7.77745E+13;4;2006
4166;Distinguish;5.55512E+13;12;2008
4167;ColonialVoice;7.77764E+13;8;2008
4168;ColonialVoice;7.77794E+13;7;2008
4169;Vista;1.11112E+13;11;2005
4170;Vista;1.11196E+13;8;2008
4171;SuperiorCard;3.33344E+13;1;2007
4172;Vista;1.11197E+13;7;2005
4173;SuperiorCard;3.33382E+13;7;2005
4174;ColonialVoice;7.77716E+13;1;2006
4175;ColonialVoice;7.77778E+13;11;2005
4176;ColonialVoice;7.77756E+13;4;2007
4177;SuperiorCard;3.33361E+13;5;2007
4178;ColonialVoice;7.77722E+13;3;2005
4179;SuperiorCard;3.33317E+13;7;2005
4180;SuperiorCard;3.33344E+13;10;2007
4181;ColonialVoice;7.77733E+13;8;2008
4182;ColonialVoice;7.77794E+13;10;2007
4183;ColonialVoice;7.77743E+13;1;2007
4184;Distinguish;5.55564E+13;10;2006
4185;ColonialVoice;7.77724E+13;5;2008
4186;SuperiorCard;3.33353E+13;12;2005
4187;Distinguish;5.55548E+13;1;2008
4188;SuperiorCard;3.33329E+13;6;2008
4189;Vista;1.11198E+13;1;2005
4190;Vista;1.11173E+13;9;2007
4191;SuperiorCard;3.33316E+13;2;2007
4192;Distinguish;5.55544E+13;11;2005
4193;Distinguish;5.55563E+13;11;2006
4194;SuperiorCard;3.33311E+13;11;2008
4195;Vista;1.1113E+13;9;2005
4196;ColonialVoice;7.7776E+13;11;2005
4197;SuperiorCard;3.33317E+13;8;2007
4198;ColonialVoice;7.77782E+13;11;2008
4199;ColonialVoice;7.77776E+13;5;2007
4200;ColonialVoice;7.77718E+13;2;2006
4201;ColonialVoice;7.77742E+13;7;2005
4202;Vista;1.11134E+13;4;2005
4203;SuperiorCard;3.33383E+13;2;2008
4204;Distinguish;5.5556E+13;6;2005
4205;SuperiorCard;3.33365E+13;7;2006
4206;SuperiorCard;3.33324E+13;9;2006
4207;Vista;1.11123E+13;6;2008
4208;SuperiorCard;3.33357E+13;2;2007
4209;Vista;1.11185E+13;3;2008
4210;SuperiorCard;3.33327E+13;6;2007
4211;SuperiorCard;3.33362E+13;12;2006
4212;Vista;1.11175E+13;12;2005
4213;ColonialVoice;7.77774E+13;5;2006
4214;Vista;1.11175E+13;5;2007
4215;SuperiorCard;3.33318E+13;8;2006
4216;Vista;1.11129E+13;2;2007
4217;ColonialVoice;7.77759E+13;5;2005
4218;SuperiorCard;3.33387E+13;5;2006
4219;Vista;1.11155E+13;10;2008
4220;Distinguish;5.55555E+13;12;2005
4221;ColonialVoice;7.77748E+13;10;2006
4222;Vista;1.11192E+13;4;2005
4223;Vista;1.11172E+13;1;2005
4224;Distinguish;5.55545E+13;1;2005
4225;Vista;1.11178E+13;6;2007
4226;Vista;1.11184E+13;1;2005
4227;Distinguish;5.55574E+13;10;2006
4228;Vista;1.11148E+13;3;2007
4229;Vista;1.11116E+13;8;2008
4230;SuperiorCard;3.33352E+13;8;2007
4231;Vista;1.1119E+13;7;2005
4232;SuperiorCard;3.33319E+13;3;2006
4233;Vista;1.11194E+13;4;2006
4234;Vista;1.11132E+13;3;2005
4235;SuperiorCard;3.33321E+13;11;2007
4236;SuperiorCard;3.33336E+13;3;2005
4237;ColonialVoice;7.77723E+13;6;2008
4238;Vista;1.11174E+13;2;2007
4239;SuperiorCard;3.33386E+13;2;2007
4240;SuperiorCard;3.33339E+13;12;2007
4241;Vista;1.11143E+13;7;2007
4242;SuperiorCard;3.33327E+13;2;2005
4243;Vista;1.1112E+13;1;2005
4244;Vista;1.11164E+13;10;2005
4245;Distinguish;5.55554E+13;7;2005
4246;SuperiorCard;3.33325E+13;9;2008
4247;SuperiorCard;3.33366E+13;6;2007
4248;ColonialVoice;7.77753E+13;12;2006
4249;Vista;1.11137E+13;7;2008
4250;Distinguish;5.55555E+13;9;2005
4251;SuperiorCard;3.33361E+13;6;2005
4252;SuperiorCard;3.33327E+13;5;2008
4253;Distinguish;5.55558E+13;6;2007
4254;Distinguish;5.55522E+13;8;2008
4255;SuperiorCard;3.33377E+13;1;2005
4256;Distinguish;5.55542E+13;2;2008
4257;Distinguish;5.55546E+13;8;2007
4258;Vista;1.11138E+13;2;2007
4259;Vista;1.11136E+13;7;2008
4260;Distinguish;5.55586E+13;8;2007
4261;ColonialVoice;7.77778E+13;10;2005
4262;Distinguish;5.55548E+13;1;2007
4263;SuperiorCard;3.33396E+13;12;2007
4264;Vista;1.1116E+13;12;2007
4265;SuperiorCard;3.33324E+13;12;2006
4266;Distinguish;5.55598E+13;11;2008
4267;ColonialVoice;7.77768E+13;9;2008
4268;Vista;1.1111E+13;6;2007
4269;SuperiorCard;3.33315E+13;8;2006
4270;SuperiorCard;3.33364E+13;8;2007
4271;Vista;1.11111E+13;2;2007
4272;Distinguish;5.55534E+13;6;2006
4273;SuperiorCard;3.33396E+13;6;2008
4274;ColonialVoice;7.77779E+13;9;2008
4275;ColonialVoice;7.77714E+13;8;2007
4276;SuperiorCard;3.33338E+13;9;2006
4277;SuperiorCard;3.33368E+13;8;2006
4278;Distinguish;5.55581E+13;7;2007
4279;ColonialVoice;7.77744E+13;3;2006
4280;SuperiorCard;3.3332E+13;11;2005
4281;SuperiorCard;3.33385E+13;11;2006
4282;ColonialVoice;7.77771E+13;6;2005
4283;Distinguish;5.5556E+13;12;2006
4284;ColonialVoice;7.77793E+13;8;2005
4285;ColonialVoice;7.77744E+13;7;2005
4286;SuperiorCard;3.33322E+13;9;2007
4287;SuperiorCard;3.33393E+13;7;2008
4288;ColonialVoice;7.77778E+13;11;2005
4289;ColonialVoice;7.77783E+13;10;2005
4290;Vista;1.11151E+13;8;2008
4291;Distinguish;5.55598E+13;2;2006
4292;Distinguish;5.5554E+13;5;2007
4293;ColonialVoice;7.77768E+13;10;2007
4294;Vista;1.11131E+13;5;2006
4295;Vista;1.11127E+13;11;2007
4296;ColonialVoice;7.77796E+13;2;2005
4297;SuperiorCard;3.33357E+13;9;2005
4298;SuperiorCard;3.33388E+13;6;2008
4299;SuperiorCard;3.33391E+13;4;2007
4300;Distinguish;5.55588E+13;2;2007
4301;Vista;1.11157E+13;7;2005
4302;Distinguish;5.55582E+13;6;2007
4303;ColonialVoice;7.77795E+13;11;2005
4304;ColonialVoice;7.77723E+13;5;2006
4305;Vista;1.11189E+13;12;2007
4306;Vista;1.11192E+13;3;2007
4307;Vista;1.11192E+13;3;2005
4308;SuperiorCard;3.3332E+13;4;2008
4309;ColonialVoice;7.77745E+13;3;2006
4310;Vista;1.11142E+13;8;2007
4311;SuperiorCard;3.33336E+13;3;2006
4312;ColonialVoice;7.77776E+13;6;2005
4313;ColonialVoice;7.77792E+13;3;2007
4314;Distinguish;5.5554E+13;8;2007
4315;SuperiorCard;3.33369E+13;8;2008
4316;Vista;1.11154E+13;4;2006
4317;ColonialVoice;7.77791E+13;3;2008
4318;ColonialVoice;7.7774E+13;11;2007
4319;SuperiorCard;3.33319E+13;7;2008
4320;Vista;1.11111E+13;12;2007
4321;SuperiorCard;3.33353E+13;11;2007
4322;Vista;1.11188E+13;1;2007
4323;Distinguish;5.55542E+13;8;2005
4324;SuperiorCard;3.33388E+13;1;2008
4325;ColonialVoice;7.77783E+13;5;2006
4326;Vista;1.11127E+13;3;2007
4327;ColonialVoice;7.77736E+13;10;2008
4328;Vista;1.11119E+13;8;2007
4329;ColonialVoice;7.77744E+13;4;2008
